iter	Passed	Remaining
407	5800	1307
408	5810	1292
409	5821	1277
410	5833	1263
411	5844	1248
412	5855	1233
413	5866	1218
414	5878	1203
415	5888	1188
416	5916	1177
417	5927	1162
418	5938	1147
419	5949	1133
420	5961	1118
421	5971	1103
422	5982	1089
423	5994	1074
424	6007	1060
425	6019	1045
426	6032	1031
427	6043	1016
428	6057	1002
429	6074	988
430	6088	974
431	6100	960
432	6111	945
433	6121	930
434	6132	916
435	6143	901
436	6155	887
437	6166	872
438	6178	858
439	6189	844
440	6202	829
441	6213	815
442	6223	800
443	6237	786
444	6250	772
445	6263	758
446	6276	744
447	6289	730
448	6301	715
449	6317	701
450	6334	688
451	6347	674
452	6368	660
453	6383	646
454	6398	632
455	6408	618
456	6420	604
457	6431	589
458	6442	575
459	6453	561
460	6465	547
461	6476	532
462	6488	518
463	6498	504
464	6510	490
465	6522	475
466	6532	461
467	6542	447
468	6560	433
469	6581	420
470	6607	406
471	6627	393
472	6644	379
473	6662	365
474	6681	351
475	6696	337
476	6711	323
477	6726	309
478	6742	295
479	6759	281
480	6774	267
481	6786	253
482	6802	239
483	6821	225
484	6842	211
485	6859	197
486	6876	183
487	6890	169
488	6909	155
489	6927	141
490	6944	127
491	6961	113
492	6974	99
493	6989	84
494	7006	70
495	7019	56
496	7030	42
497	7043	28
498	7056	14
499	7068	0
