iter	RMSE
136	141.9047801
137	140.0798886
138	138.2341467
139	136.5278811
140	134.8104688
141	133.1618836
142	131.7159093
143	130.187514
144	128.7357291
145	127.3656021
146	125.9832633
147	124.7795379
148	123.5491491
149	122.2386166
150	120.893997
151	119.9130576
152	118.7182785
153	117.6589
154	116.532156
155	115.4153675
156	114.3463228
157	113.3140641
158	112.3029316
159	111.3834373
160	110.4351911
161	109.5034386
162	108.676355
163	107.809378
164	107.0426863
165	106.149219
166	105.229858
167	104.4381459
168	103.6440698
169	102.9346551
170	102.1779455
171	101.5064745
172	100.8858727
173	100.1989593
174	99.55803024
175	98.97994679
176	98.33393746
177	97.61024039
178	97.08656682
179	96.50379547
180	95.942569
181	95.43639331
182	94.87324067
183	94.40989849
184	93.74507846
185	93.2287687
186	92.77737624
187	92.25313674
188	91.81914676
189	91.36924917
190	90.84039926
191	90.34750495
192	89.88316529
193	89.42681802
194	88.9088535
195	88.32243751
196	87.82321407
197	87.47376936
198	87.11715909
199	86.84286183
200	86.48915459
201	86.10908938
202	85.79785161
203	85.5077503
204	85.22313016
205	84.77423244
206	84.50309522
207	84.18987951
208	83.94002797
209	83.68831553
210	83.35294158
211	82.94064537
212	82.7102512
213	82.47663288
214	82.09842741
215	81.80842281
216	81.57090672
217	81.16647032
218	80.91531407
219	80.64411062
220	80.38255367
221	80.15697446
222	79.954134
223	79.70715819
224	79.51342444
225	79.31598777
226	79.08194582
227	78.85906
228	78.69360308
229	78.38364712
230	78.11978751
231	77.88579721
232	77.62324033
233	77.41224033
234	77.23658016
235	77.03594038
236	76.87868201
237	76.65335267
238	76.50275249
239	76.31543142
240	76.06749861
241	75.91759978
242	75.73495102
243	75.59524298
244	75.42246803
245	75.28670277
246	75.19537697
247	75.01237427
248	74.90705973
249	74.70483042
250	74.5487945
251	74.36981615
252	74.1309888
253	73.99176324
254	73.73389953
255	73.55972587
256	73.47604214
257	73.37977424
258	73.2162727
259	73.09455395
260	73.00631912
261	72.82075585
262	72.61296971
263	72.41317028
264	72.33757752
265	72.18377872
266	72.00932144
267	71.88901137
268	71.82489266
269	71.63685571
270	71.58717696
271	71.38490701
272	71.21942975
273	71.15476654
274	71.00103287
275	70.79453322
276	70.69752431
277	70.51348358
278	70.3402512
279	70.1983267
280	70.0490705
281	69.88438651
282	69.79781208
283	69.6201478
284	69.56818582
285	69.45691737
286	69.3580941
287	69.29061482
288	69.24153066
289	69.14592408
290	69.01489827
291	68.86156225
292	68.69046421
293	68.59897492
294	68.49239976
295	68.41226149
296	68.23675766
297	68.16363498
298	68.04657144
299	67.90550466
300	67.80490251
301	67.67233459
302	67.51502413
303	67.41575189
304	67.3403941
305	67.22901345
306	67.1365772
307	67.02215971
308	66.9372632
309	66.86939773
310	66.75187305
311	66.68655466
312	66.57019352
313	66.50045564
314	66.40748805
315	66.28465253
316	66.22056706
317	66.1208931
318	66.02724466
319	65.98693627
320	65.88187631
321	65.76767798
322	65.66148886
323	65.56412787
324	65.46478803
325	65.38093465
326	65.28577321
327	65.18143471
328	65.05064824
329	64.98276226
330	64.88737233
331	64.80963736
332	64.72778041
333	64.64779583
334	64.56284109
335	64.4958786
336	64.40769624
337	64.31272694
338	64.22742923
339	64.13622942
340	64.070364
341	63.96324169
342	63.89101158
343	63.86105886
344	63.78380032
345	63.68432614
346	63.61627271
347	63.56545559
348	63.499214
349	63.42633328
350	63.33353509
351	63.23735302
352	63.13078865
353	63.0846977
354	63.06523616
355	62.97978041
356	62.91457747
357	62.84267718
358	62.78464183
359	62.70420191
360	62.62872165
361	62.57894791
362	62.48476632
363	62.4197321
364	62.36545148
365	62.30826967
366	62.25104544
367	62.17551331
368	62.09845385
369	61.93590417
370	61.87702129
371	61.80311277
372	61.74175114
373	61.67344049
374	61.62102249
375	61.45675291
376	61.4102495
377	61.35260664
378	61.29692589
379	61.23139351
380	61.14933416
381	61.07730734
382	61.02342042
383	60.97353258
384	60.80840921
385	60.75203011
386	60.68536574
387	60.62855952
388	60.5926302
389	60.49120354
390	60.36387641
391	60.30422335
392	60.23384877
393	60.18734714
394	60.15727908
395	60.09791295
396	60.01447452
397	59.94718403
398	59.90605224
399	59.84187034
400	59.76460828
401	59.71602763
402	59.64262201
403	59.50090247
404	59.43188988
405	59.34539971
406	59.28375146
407	59.15309214
408	59.11592727
409	59.03740013
410	58.99165424
411	58.94875873
412	58.81710288
413	58.77203891
414	58.69112249
415	58.63987067
416	58.58811229
417	58.52610063
418	58.41257102
419	58.37160255
420	58.33040163
421	58.22213903
422	58.17278257
423	58.12900274
424	58.02678169
425	57.98428053
426	57.9422193
427	57.88834944
428	57.82160699
429	57.80046775
430	57.7674879
431	57.67000075
432	57.6273085
433	57.5819115
434	57.54373653
435	57.50479799
436	57.46086049
437	57.41932602
438	57.36349397
439	57.27102973
440	57.196201
441	57.16281391
442	57.14346938
443	57.10600761
444	57.03682012
445	56.99777093
446	56.95491658
447	56.92161393
448	56.88869627
449	56.83674786
450	56.80027605
451	56.74396936
452	56.70003893
453	56.65958206
454	56.61909737
455	56.55445506
456	56.48950699
457	56.43923077
458	56.41067312
459	56.36482462
460	56.3304298
461	56.29007376
462	56.25167071
463	56.20110574
464	56.16699712
465	56.12611542
466	56.10766172
467	56.04623544
468	56.00375681
469	55.93861104
470	55.87962896
471	55.81808645
472	55.75992319
473	55.72191854
474	55.653572
475	55.61946246
476	55.58495798
477	55.55247495
478	55.49915592
479	55.44270553
480	55.41285663
481	55.35107224
482	55.32407295
483	55.29281169
484	55.26698155
485	55.20866499
486	55.16338861
487	55.11190859
488	55.0698384
489	55.01763163
490	54.99338275
491	54.97783838
492	54.94595697
493	54.91676232
494	54.88839794
495	54.86211131
496	54.80929784
497	54.75107587
498	54.70620047
499	54.67843783
500	54.650804
501	54.60282536
502	54.5587621
503	54.53280431
504	54.50940584
505	54.486003
506	54.45714705
507	54.42244665
508	54.36261981
509	54.31727059
510	54.28562363
511	54.25842614
512	54.20852184
513	54.18738069
514	54.13404618
515	54.10538815
516	54.07621857
517	54.02172591
518	53.99267562
519	53.95556845
520	53.93201722
521	53.90219682
522	53.85998332
523	53.8141233
524	53.79040819
525	53.75418832
526	53.70454151
527	53.67865307
528	53.64691076
529	53.58199332
530	53.56120575
531	53.52196528
532	53.48465109
533	53.46265853
534	53.43558036
535	53.41110738
536	53.38486429
537	53.32344645
538	53.29337055
539	53.25702236
540	53.23313262
541	53.19763851
542	53.16503667
543	53.15012424
544	53.12022532
545	53.09505698
546	53.07751444
547	53.0436747
548	53.02121367
549	52.99992296
550	52.97577132
551	52.95410622
552	52.91184712
553	52.88424155
554	52.85815277
555	52.83448097
556	52.82195467
557	52.80128011
558	52.77685237
559	52.75366699
560	52.73469992
561	52.71206533
562	52.69415379
563	52.67530579
564	52.65788023
565	52.61528813
566	52.58440602
567	52.5681381
568	52.54651193
569	52.52888116
570	52.47223893
571	52.44071564
572	52.41574763
573	52.38039745
574	52.35472993
575	52.30682229
576	52.27979594
577	52.26333357
578	52.24298788
579	52.2270785
580	52.20512834
581	52.16660435
582	52.13747749
583	52.10564946
584	52.07699257
585	52.05887379
586	52.04361655
587	52.02852825
588	51.99365359
589	51.97005815
590	51.9555691
591	51.93307142
592	51.90898839
593	51.88762398
594	51.86195916
595	51.85165164
596	51.82089072
597	51.79957647
598	51.76815812
599	51.74812988
